"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"3611","TN / DF","P62258","P62258",1.187609179,1.187609179,0.000530319,0.000438467,630,"P62258","YWHAE","14-3-3 protein epsilon","1433E_HUMAN",36,127.7749636,2.277749636,"TN","DF","mitochondrion,cytosol,kinesin complex,cell-cell adherens junction,focal adhesion,membrane,axon,cytoplasmic vesicle membrane,melanosome,extracellular exosome","protein binding,potassium channel regulator activity,enzyme binding,protein domain specific binding,MHC class II protein complex binding,ubiquitin protein ligase binding,histone deacetylase binding,ion channel binding,poly(A) RNA binding,protein heterodimerization activity,phosphoserine binding,phosphoprotein binding,cadherin binding involved in cell-cell adhesion","G2/M transition of mitotic cell cycle,neuron migration,regulation of heart rate by hormone,protein targeting,viral process,substantia nigra development,hippocampus development,cerebral cortex development,hippo signaling,intracellular signal transduction,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of membrane repolarization,membrane organization,membrane repolarization during cardiac muscle cell action potential,regulation of heart rate by cardiac conduction,cell-cell adhesion,regulation of cellular response to heat,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,regulation of potassium ion transmembrane transporter activity,negative regulation of peptidyl-serine dephosphorylation",3.35806308703502,"Red"
"3612","TN / DF","P01620","P01620",-2.159454267,2.159454267,0.000537667,0.0004443,98,"P01620","NaN","Ig kappa chain V-III region SIE","KV302_HUMAN",6,-77.61590752,0.223840925,"TN","DF","extracellular region,plasma membrane,extracellular exosome,blood microparticle","antigen binding,serine-type endopeptidase activity","proteolysis,receptor-mediated endocytosis,immune response,complement activation,complement activation, classical pathway,Fc-epsilon receptor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,regulation of immune response",3.35232368675913,"Blue"
"3613","Meta / DF","P62195","P62195",1.305256371,1.305256371,0.000433183,0.00044501,616,"P62195","PSMC5","26S protease regulatory subunit 8","PRS8_HUMAN",32,147.1276388,2.471276388,"Meta","DF","proteasome complex,nucleus,nucleoplasm,cytoplasm,cytosol,proteasome regulatory particle, base subcomplex,membrane,inclusion body,proteasome accessory complex,cytoplasmic vesicle,nuclear proteasome complex,cytosolic proteasome complex,extracellular exosome,blood microparticle","transcription cofactor activity,protein binding,ATP binding,transcription factor binding,ATPase activity,TBP-class protein binding,thyrotropin-releasing hormone receptor binding,proteasome-activating ATPase activity","MAPK cascade,protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,transcription from RNA polymerase II promoter,regulation of cellular amino acid metabolic process,ER-associated ubiquitin-dependent protein catabolic process,anaphase-promoting complex-dependent catabolic process,tumor necrosis factor-mediated signaling pathway,NIK/NF-kappaB signaling,Fc-epsilon receptor signaling pathway,negative regulation of programmed cell death,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of mRNA stability,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,T cell receptor signaling pathway,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,Wnt signaling pathway, planar cell polarity pathway,negative regulation of canonical Wnt signaling pathway,positive regulation of inclusion body assembly,positive regulation of canonical Wnt signaling pathway,positive regulation of proteasomal protein catabolic process",3.35163022970216,"Red"
"3614","HER2 / DF","Q99439","Q99439",1.687028726,1.687028726,0.000547173,0.000447212,322,"Q99439","CNN2","Calponin-2","CNN2_HUMAN",16,221.9928663,3.219928663,"HER2","DF","stress fiber,cytoskeleton,cell-cell junction,cell-cell adherens junction,focal adhesion,membrane,extracellular exosome","actin binding,calmodulin binding,cadherin binding involved in cell-cell adhesion","cytoskeleton organization,actomyosin structure organization,regulation of actin filament-based process,cellular response to mechanical stimulus,cell-cell adhesion",3.3494865515799,"Red"
"3615","HER2 / DF","P14384","P14384",-1.572994894,1.572994894,0.000548856,0.000448136,84,"P14384","CPM","Carboxypeptidase M","CBPM_HUMAN",9,-66.38900619,0.336109938,"HER2","DF","extracellular space,plasma membrane,cell surface,anchored component of membrane,extracellular exosome","carboxypeptidase activity,metallocarboxypeptidase activity,serine-type carboxypeptidase activity,zinc ion binding","peptide metabolic process,anatomical structure morphogenesis,protein processing",3.34859016661285,"Blue"
"3616","TP / DF","Q7Z7G0","Q7Z7G0",-1.215610307,1.215610307,0.000390315,0.000449002,98,"Q7Z7G0","ABI3BP","Target of Nesh-SH3","TARSH_HUMAN",7,-56.94091127,0.430590887,"TP","DF","interstitial matrix,extracellular space,extracellular matrix","collagen binding,heparin binding","positive regulation of cell-substrate adhesion,extracellular matrix organization",3.34775172450441,"Blue"
"3617","Meta / DF","Q2TAA2","Q2TAA2",0.674804431,0.674804431,0.000438424,0.000449888,98,"Q2TAA2","IAH1","Isoamyl acetate-hydrolyzing esterase 1 homolog","IAH1_HUMAN",7,59.63803563,1.596380356,"Meta","DF","extracellular exosome","hydrolase activity","lipid catabolic process",3.34689559074927,"Red"
"3618","HER2 / DF","P18669","P18669",1.370380381,1.370380381,0.000551807,0.000450093,574,"P18669","PGAM1","Phosphoglycerate mutase 1","PGAM1_HUMAN",37,158.5387234,2.585387234,"HER2","DF","cytoplasm,cytosol,membrane,extracellular exosome","bisphosphoglycerate mutase activity,phosphoglycerate mutase activity,hydrolase activity,protein kinase binding,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity","gluconeogenesis,glycolytic process,regulation of glycolytic process,regulation of pentose-phosphate shunt,respiratory burst,canonical glycolysis",3.34669774130505,"Red"
"3619","ERPR / DF","Q13620","Q13620",2.113582789,2.113582789,0.000506892,0.000453398,504,"Q13620","CUL4B","Cullin-4B","CUL4B_HUMAN",45,332.7646892,4.327646892,"ERPR","DF","nucleoplasm,cytoplasm,cytosol,Cul4B-RING E3 ubiquitin ligase complex,extracellular exosome","protein binding,ubiquitin protein ligase binding,damaged DNA binding,ubiquitin protein ligase activity","nucleotide-excision repair, DNA damage recognition,nucleotide-excision repair, DNA duplex unwinding,transcription-coupled nucleotide-excision repair,nucleotide-excision repair, preincision complex stabilization,nucleotide-excision repair, preincision complex assembly,nucleotide-excision repair, DNA incision, 3'-to lesion,nucleotide-excision repair, DNA incision, 5'-to lesion,cell cycle,neuron projection development,nucleotide-excision repair, DNA incision,histone H2A monoubiquitination,DNA damage response, detection of DNA damage,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process,global genome nucleotide-excision repair,UV-damage excision repair,positive regulation of G1/S transition of mitotic cell cycle",3.34352039993707,"Red"
"3620","TP / DF","Q9H4G4","Q9H4G4",-0.835990184,0.835990184,0.000397602,0.000455753,70,"Q9H4G4","GLIPR2","Golgi-associated plant pathogenesis-related protein 1","GAPR1_HUMAN",9,-43.98015813,0.560198419,"TP","DF","Golgi membrane,extracellular exosome","protein homodimerization activity","positive regulation of epithelial cell migration,positive regulation of epithelial to mesenchymal transition,positive regulation of ERK1 and ERK2 cascade",3.34127046391455,"Blue"
"3621","HER2 / DF","Q9Y2E5","Q9Y2E5",-1.01028288,1.01028288,0.000559931,0.00045649,154,"Q9Y2E5","MAN2B2","Epididymis-specific alpha-mannosidase","MA2B2_HUMAN",15,-50.35511043,0.496448896,"HER2","DF","lysosomal lumen,extracellular exosome","alpha-mannosidase activity,zinc ion binding,mannan endo-1,6-alpha-mannosidase activity,carbohydrate binding","mannose metabolic process,protein deglycosylation,oligosaccharide catabolic process",3.34056873180413,"Blue"
"3622","Meta / DF","Q9UGM3","Q9UGM3",-0.75800777,0.75800777,0.000445964,0.000456829,42,"Q9UGM3","DMBT1","Deleted in malignant brain tumors 1 protein","DMBT1_HUMAN",10,-40.86876847,0.591312315,"Meta","DF","extracellular region,extracellular space,cytoplasm,extrinsic component of membrane,phagocytic vesicle membrane,zymogen granule membrane,extracellular exosome","scavenger receptor activity,protein binding,signaling pattern recognition receptor activity,zymogen binding,calcium-dependent protein binding","pattern recognition receptor signaling pathway,receptor-mediated endocytosis,multicellular organism development,protein transport,epithelial cell differentiation,induction of bacterial agglutination,cellular protein metabolic process,innate immune response,defense response to virus",3.34024633440273,"Blue"
"3623","Meta / DF","P36639","P36639",1.096634774,1.096634774,0.000447969,0.000458616,70,"P36639","NUDT1","7,8-dihydro-8-oxoguanine triphosphatase","8ODP_HUMAN",6,113.8552721,2.138552721,"Meta","DF","acrosomal vesicle,extracellular space,nucleus,cytoplasm,mitochondrion,mitochondrial matrix,cytosol,plasma membrane,nuclear membrane,extracellular exosome","GTPase activity,8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity,snoRNA binding,8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity,GTP diphosphatase activity,2-hydroxy-adenosine triphosphate pyrophosphatase activity,2-hydroxy-(deoxy)adenosine-triphosphate pyrophosphatase activity,metal ion binding,ATP diphosphatase activity,m7G(5')pppN diphosphatase activity","purine nucleotide catabolic process,dGTP catabolic process,DNA repair,response to oxidative stress,aging,male gonad development,nucleobase-containing small molecule catabolic process,DNA protection,dATP catabolic process,response to cadmium ion",3.33855079786056,"Red"
"3624","Meta / DF","O75348","O75348",1.608964827,1.608964827,0.000451504,0.0004617,140,"O75348","ATP6V1G1","V-type proton ATPase subunit G 1","VATG1_HUMAN",8,205.0328939,3.050328939,"Meta","DF","lysosomal membrane,cytosol,plasma membrane,vacuolar proton-transporting V-type ATPase complex,extracellular exosome","protein binding,hydrogen-exporting ATPase activity, phosphorylative mechanism,ATPase binding","insulin receptor signaling pathway,regulation of macroautophagy,transferrin transport,ion transmembrane transport,phagosome acidification,hydrogen ion transmembrane transport",3.33564012544886,"Red"
"3625","TP / DF","Q14393","Q14393",-1.737669259,1.737669259,0.000404478,0.000462809,56,"Q14393","GAS6","Growth arrest-specific protein 6","GAS6_HUMAN",10,-70.01462872,0.299853713,"TP","DF","extracellular region,extracellular space,cytoplasm,endoplasmic reticulum lumen,Golgi lumen,platelet alpha granule lumen,extracellular exosome","phosphatidylserine binding,receptor binding,voltage-gated calcium channel activity,calcium ion binding,protein binding,protein tyrosine kinase activator activity,receptor tyrosine kinase binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,receptor agonist activity,binding, bridging","neuron migration,positive regulation of protein phosphorylation,positive regulation of cytokine-mediated signaling pathway,platelet degranulation,positive regulation of glomerular filtration,signal peptide processing,protein phosphorylation,ER to Golgi vesicle-mediated transport,phagocytosis,apoptotic process,cell cycle arrest,cell adhesion,signal transduction,enzyme linked receptor protein signaling pathway,cell proliferation,cellular response to starvation,positive regulation of gene expression,negative regulation of tumor necrosis factor-mediated signaling pathway,macrophage cytokine production,cell migration,peptidyl-serine phosphorylation,fusion of virus membrane with host plasma membrane,viral genome replication,platelet activation,animal organ regeneration,cell-substrate adhesion,positive regulation of TOR signaling,activation of protein kinase B activity,negative regulation of interferon-gamma production,negative regulation of interleukin-6 production,negative regulation of tumor necrosis factor production,positive regulation of natural killer cell differentiation,positive regulation of peptidyl-serine phosphorylation,negative regulation of protein import into nucleus, translocation,cellular response to interferon-alpha,cellular response to drug,B cell chemotaxis,regulation of growth,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,apoptotic cell clearance,negative regulation of sequence-specific DNA binding transcription factor activity,protein kinase B signaling,positive regulation of protein kinase activity,negative regulation of transcription, DNA-templated,viral entry into host cell,receptor-mediated virion attachment to host cell,positive regulation of protein export from nucleus,positive regulation of fibroblast proliferation,negative regulation of interleukin-1 secretion,positive regulation of phagocytosis,leukocyte migration,positive regulation of protein kinase B signaling,positive regulation of protein tyrosine kinase activity,negative regulation of biomineral tissue development,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,calcium ion transmembrane transport,cellular response to vitamin K,cellular response to glucose stimulus,cellular response to growth factor stimulus,protein targeting to plasma membrane,extracellular matrix assembly,dendritic cell differentiation,hematopoietic stem cell migration to bone marrow,negative regulation of oligodendrocyte apoptotic process,negative regulation of interleukin-6 secretion,negative regulation of fibroblast apoptotic process,negative regulation of endothelial cell apoptotic process,positive regulation of dendritic cell chemotaxis,negative regulation of renal albumin absorption,negative regulation of dendritic cell apoptotic process",3.33459820414481,"Blue"
